的	的话	的确
亵	亵渎	亵玩
辖	辖区	辖下
蟑	蟑螂	蟑螂乐队
扈	扈从	扈三娘
闵	闵行区	闵采尔
懿	懿旨	懿德
涅	涅槃	涅盘
忒	忒楞楞	
鲸	鲸鱼	鲸吞
恪	恪守	恪尽职守
淀	淀粉	淀粉酶
凿	凿开	凿子
蛾	蛾子	蛾眉
栓	栓子	栓塞
贿	贿赂	贿款
勘	勘察	勘查
佯	佯装	佯攻
榨	榨菜	榨取
颐	颐指气使	颐养天年
浙	浙江	浙大
橱	橱窗	橱柜
冕	冕服	冕旒
瘟	瘟神	瘟疫
烘	烘烤	烘托
锯	锯齿	锯子
胯	胯下	胯部
峡	峡谷	峡口
痊	痊愈	痊癒
卯	卯足了劲	卯足
丞	丞相	
疵	疵点	疵议
嗑	嗑瓜子	
捺	捺印	
郡	郡主	郡王
俘	俘虏	俘获
鸾	鸾鸟	鸾凤
疮	疮痍	疮疤
佘	佘太君	佘一元
噶	噶尔丹	噶尔
萤	萤火虫	萤火
峨	峨眉	峨眉山
栾	栾城	栾南
苔	苔藓	苔丝
舆	舆论	舆论压力
巩	巩固	巩膜
酌	酌情	酌酒
溯	溯源	溯流
硝	硝烟	硝烟弥漫
讹	讹诈	讹人
谴	谴责	
簧	簧片	簧乐器
羔	羔羊	羔子
孜	孜孜不倦	孜然
垢	垢污	垢面蓬头
苇	苇子	苇河
螳	螳螂	螳螂捕蝉
剿	剿灭	剿匪
栖	栖息	栖身
剿	剿灭	剿匪
醇	醇厚	醇香
栖	栖息	栖身
剃	剃着	剃须刀
饲	饲料	饲养
筠	筠连	筠连县
筠	筠连	筠连县
屹	屹立	屹然
芥	芥蒂	芥末
芥	芥蒂	芥末
矗	矗立	矗起
龇	龇牙咧嘴	龇牙
槟	槟榔	槟城
蜕	蜕变	蜕皮
笋	笋丝	笋干
砚	砚台	砚石
隋	隋朝	隋菲菲
舵	舵主	舵手
酣	酣睡	酣畅淋漓
稠	稠密	稠乎乎
沪	沪市	沪江
啄	啄米	啄食
鹦	鹦鹉	鹦鹉螺
媲	媲美	
奠	奠定	奠基
纺	纺织	纺织厂
凋	凋零	凋谢
莘	莘莘学子	莘县
篆	篆体	篆字
甭	甭管	甭想
扼	扼杀	扼住
嘤	嘤其鸣矣	
弛	弛缓	弛懈
孰	孰不可忍	孰轻孰重
遐	遐想	遐思
炊	炊烟	炊烟袅袅
涎	涎水	涎着脸
遏	遏制	遏止
蜈	蜈蚣	蜈蚣洞
匾	匾额	匾牌
辘	辘辘	辘轳
锣	锣鼓	锣鼓喧天
帚	帚柄	帚子
惘	惘然	惘然若失
抉	抉择	抉擇
惰	惰性	惰性气体
箍	箍紧	箍桶
叱	叱咤风云	叱咤
峭	峭壁	峭拔
屯	屯子	屯里
屯	屯子	屯里
昙	昙花一现	昙花
貂	貂蝉	貂皮
掖	掖县	掖进
蔫	蔫蔫	蔫头耷脑
庚	庚辰	庚午
踮	踮起	踮着
祠	祠堂	祠庙
肇	肇事	肇事者
邂	邂逅	邂逅相遇
饕	饕餮	饕餮之徒
籽	籽儿	籽种
娓	娓娓道来	娓娓
亘	亘古	亘古不灭
涣	涣散	涣然
忡	忡忡	
臊	臊子	臊气
簿	簿子	簿册
珞	珞巴	珞珈
伫	伫立	伫足
芋	芋头	芋艿
穗	穗子	穗城
亓	亓诗教	
俐	俐落	
韶	韶华	韶关
窖	窖藏	窖子
踌	踌躇	踌躇满志
稼	稼穑	稼穑艰难
趔	趔趄	趔趔趄趄
瘤	瘤子	瘤胃
蜗	蜗牛	蜗居
咿	咿呀	咿咿呀呀
枷	枷锁	枷鎖
吠	吠叫	吠声
冼	冼星海	
沼	沼泽	沼泽地
碳	碳素	碳酸
翌	翌日	翌年
怦	怦然心动	怦怦
渎	渎职	渎职罪
匡	匡扶	匡扶汉
藐	藐视	藐视一切
汀	汀娜	汀江
赃	赃物	赃款
衙	衙门	衙役
幡	幡然醒悟	幡然悔悟
祀	祀神	祀祖
喀	喀嚓	喀秋莎
佰	佰草集	
拣	拣起	拣到
阙	阙如	阙至尊
弋	弋阳	弋获
於	於是	於此
於	於是	於此
恃	恃强凌弱	恃才傲物
熔	熔炉	熔岩
岐	岐山	岐黄
盅	盅子	
汶	汶川	汶山
羹	羹匙	羹汤
饵	饵料	饵食
拄	拄着	拄杖
募	募捐	募集
倏	倏地	倏然
熹	熹微	熹平
襄	襄阳	襄王
迂	迂腐	迂回
嫡	嫡系	嫡传
坂	坂崎由莉	坂本龙
攸	攸关	攸然
蜒	蜒蚰	
谩	谩骂	谩骂者
盎	盎然	盎司
蜿	蜿蜒	
渲	渲染	渲泄
蔺	蔺相如	蔺草
谬	谬赞	谬论
帷	帷幕	帷帐
捎	捎带	捎来
骅	骅骝	
榻	榻榻米	榻板
诬	诬陷	诬赖
啜	啜泣	啜泣声
垄	垄断	垄沟
辐	辐射	辐射强度
胚	胚子	胚胎
篱	篱笆	篱笆墙
炳	炳灵	炳发
煲	煲汤	煲仔饭
冢	冢中枯骨	冢木已拱
毋	毋庸置疑	毋庸
潺	潺潺	潺潺流水
泌	泌出	泌尿系统
泌	泌出	泌尿系统
畴	畴昔	
沅	沅水	沅江
庐	庐山	庐山真面目
粼	粼粼	粼粼碧波
忖	忖道	忖度
篝	篝火	篝火狐鸣
抒	抒发	抒情
轲	轲比能	
虏	虏获	虏掠
蛰	蛰伏	蛰虫
蜻	蜻蜓	蜻蜓点水
俟	俟河之清	俟机
篓	篓子	篓筐
俟	俟河之清	俟机
涮	涮羊肉	涮锅
忏	忏悔	忏悔录
礁	礁石	礁岩
婀	婀娜	婀娜多姿
铿	铿锵有力	铿锵
粽	粽子	粽粑
璧	璧山	璧玉
桓	桓台	桓玄
瀛	瀛洲	瀛州
鼾	鼾声	鼾声如雷
苞	苞米	苞谷
滤	滤过	滤清
蹂	蹂躏	
蜥	蜥蜴	蜥蜴人
煊	煊赫	
栀	栀子花	栀子
浒	浒墅关	浒山
咎	咎由自取	咎有应得
浒	浒墅关	浒山
捻	捻起	捻灭
瞻	瞻仰	瞻前顾后
雌	雌性	雌雄
瓮	瓮声瓮气	瓮中捉鳖
蹒	蹒跚	蹒跚而行
嫖	嫖客	嫖妓
阀	阀门	阀门厂
潼	潼关	潼南
娑	娑婆	娑罗树
搪	搪塞	搪瓷
鱿	鱿鱼	鱿鱼丝
秧	秧苗	秧子
鲲	鲲鹏	鲲鹏展翅
柬	柬埔寨	柬帖
璞	璞玉	璞鼎查
鸥	鸥鸟	鸥鹭忘机
迢	迢迢	迢遥
磐	磐石	磐安
诠	诠释	诠释者
毓	毓秀	毓璜顶
浠	浠水	浠水县
夔	夔门	夔龙
栎	栎树	栎阳
飓	飓风	
栎	栎树	栎阳
湮	湮灭	湮没
逾	逾越	逾期
濒	濒临	濒死
佝	佝偻	佝偻病
皑	皑皑	
阐	阐述	阐释
烹	烹饪	烹制
瞑	瞑目	瞑想
卤	卤肉	卤蛋
粱	粱山	粱肉
痰	痰盂	痰饮
坍	坍塌	坍缩
惴	惴惴不安	惴惴
拴	拴着	拴住
胭	胭脂	胭脂粉
犷	犷悍	
噙	噙齿戴发	
纬	纬度	纬线
臃	臃肿	臃腫
涧	涧水	涧溪
浣	浣熊	浣纱
掣	掣肘	掣电
诲	诲人不倦	诲淫诲盗
藕	藕断丝连	藕粉
歼	歼灭	歼敌
怏	怏怏	怏怏不乐
缤	缤纷	缤纷多彩
椰	椰子	椰子树
遛	遛弯	遛狗
腺	腺体	腺癌
鹊	鹊桥	鹊起
宓	宓汝成	
怵	怵目惊心	怵然
邸	邸宅	邸阁
腋	腋下	腋窝
颔	颔首	颔下
泱	泱泱	泱泱大国
纶	纶巾	纶巾羽扇
纶	纶巾	纶巾羽扇
馍	馍馍	
窈	窈窕	窈窕淑女
吏	吏部	吏治
揶	揶揄	
莜	莜麦	
匍	匍匐	匍匐前进
蟾	蟾蜍	蟾宫
蟠	蟠桃	蟠桃会
譬	譬如	譬如说
掸	掸子	掸帚
掸	掸子	掸帚
钵	钵盂	钵头
舀	舀水	舀出
垣	垣曲	垣曲县
岱	岱庙	岱山
孬	孬种	
卞	卞之琳	卞夫人
夙	夙愿	夙夜
壹	壹号	壹一
匐	匐伏	
玷	玷污	玷辱
樟	樟树	樟树下
馄	馄饨	馄饨面
羚	羚羊	羚羊挂角
殡	殡仪馆	殡葬
犒	犒劳	犒赏
俑	俑坑	
濡	濡湿	濡染
噤	噤声	噤若寒蝉
庶	庶民	庶子
瞠	瞠目结舌	瞠目
藻	藻类	藻井
鸠	鸠摩智	鸠占鹊巢
缆	缆车	缆绳
咩	咩咩叫	
汕	汕头	汕尾
豚	豚鼠	豚草
颦	颦眉	
搔	搔首弄姿	搔头
柚	柚子	柚子茶
汩	汩汩	
盹	盹儿	
衲	衲衣	衲子
嶙	嶙峋	
耙	耙子	耙地
伎	伎俩	伎倆
耙	耙子	耙地
镀	镀金	镀上
揖	揖拜	揖谢
茨	茨威格	茨冈
秤	秤砣	秤杆
鹭	鹭岛	鹭鸟
邬	邬倩倩	邬桥真
婊	婊子	
伢	伢子	
桨	桨叶	桨声
嗬	嗬哟	
妓	妓女	妓院
瘴	瘴气	瘴疠
鹫	鹫峰	鹫山
缰	缰绳	
眦	眦裂	眦裂发指
隍	隍城	
臼	臼齿	臼杵
潦	潦草	潦倒
魑	魑魅魍魉	魑魅
蹩	蹩脚	蹩脚货
绢	绢丝	绢画
阡	阡陌	阡表
浔	浔江	
犟	犟嘴	犟脾气
臆	臆想	臆测
豺	豺狼	豺狼虎豹
恻	恻隐之心	恻隐
嗣	嗣后	嗣位
绉	绉纹	绉纱
幌	幌子	幌动
蚯	蚯蚓	
沏	沏茶	
蹉	蹉跎	蹉跎岁月
拈	拈花	拈花惹草
膺	膺品	膺任
袒	袒护	袒露
踵	踵事增华	踵至
涸	涸泽而渔	涸辙之鲋
蛐	蛐蛐	蛐蛐儿
潢	潢川	潢川县
殒	殒命	殒灭
桔	桔子	桔梗
茎	茎杆	茎干
孺	孺子可教	孺子不可
悼	悼念	悼词
缎	缎带	缎子
谛	谛听	谛视
菠	菠萝	菠菜
嬷	嬷嬷	
睨	睨视	
蛆	蛆虫	
壕	壕沟	壕堑
汲	汲取	汲水
堇	堇色	堇菜
偃	偃月	偃旗息鼓
腌	腌制	腌菜
腌	腌制	腌菜
颚	颚骨	
吮	吮吸	吮痈舐痔
沭	沭阳	沭河
黍	黍子	黍米
旖	旖旎	旖旎风光
酵	酵母菌	酵母
蕙	蕙兰	蕙质兰心
燮	燮理	燮理阴阳
炬	炬火	
舜	舜天	舜帝
褒	褒奖	褒义词
愠	愠怒	愠色
渤	渤海	渤海湾
阉	阉割	阉人
倡	倡导	倡议
噘	噘嘴	噘嘴儿
僚	僚机	僚属
倜	倜傥	倜傥不群
椭	椭圆形	椭圆
潞	潞河	潞安
硫	硫酸	硫磺
荔	荔枝	荔枝树
膳	膳食	膳房
帛	帛书	帛画
睚	睚眦必报	睚眦
脐	脐带	脐橙
圭	圭亚那	圭臬
酉	酉时	酉阳
镐	镐头	镐京
镐	镐头	镐京
钒	钒铁	
姊	姊妹	姊姊
鞍	鞍前马后	鞍山
缔	缔造	缔结
觊	觊觎	
砺	砺石	
孵	孵化	孵出
濑	濑户内海	濑户
锃	锃亮	锃光瓦亮
瑙	瑙鲁	瑙曼
梆	梆梆	梆子
泫	泫然泪下	泫然欲泪
韭	韭菜	韭黄
泷	泷泽秀明	
泷	泷泽秀明	
呶	呶呶不休	
涤	涤荡	涤卡
磷	磷火	磷光
蚱	蚱蜢	蚱蝉
隽	隽永	隽拔
鳝	鳝鱼	
萃	萃取	萃取液
婢	婢女	婢子
幂	幂函数	幂指数
坯	坯子	坯料
唆	唆使	
掳	掳走	掳掠
匮	匮乏	匮缺
杳	杳无音信	杳无音讯
褴	褴褛	褴褛不堪
臧	臧克家	臧否
岌	岌岌可危	岌岌
犁	犁地	犁田
撰	撰写	撰稿人
甬	甬道	甬路
稷	稷下	稷山
骋	骋目	骋怀
憩	憩息	
钛	钛合金	钛酸
埔	埔里	埔里镇
埔	埔里	埔里镇
郗	郗恩庭	
嘁	嘁嘁喳喳	嘁嘁嚓嚓
掇	掇菁撷华	
烩	烩面	烩饭
鲫	鲫鱼	鲫鱼汤
橄	橄榄枝	橄榄
馊	馊主意	馊味
蒯	蒯异度	蒯侍郎
嘹	嘹亮	
桠	桠枫	桠杈
鳌	鳌拜	鳌头
骥	骥骜	
缜	缜密	缜密性
揩	揩油	揩去
邙	邙山	
垛	垛子	垛口
脓	脓包	脓水
夯	夯实	夯货
钙	钙片	钙化
夯	夯实	夯货
琵	琵琶	琵琶骨
谤	谤议	
焊	焊接	焊枪
釜	釜山	釜底抽薪
孑	孑然一身	孑然
枸	枸杞	枸杞子
枸	枸杞	枸杞子
闽	闽南	闽江
蘸	蘸上	蘸湿
瑚	瑚琏之器	
荟	荟萃	荟萃一堂
碴	碴儿	
鄂	鄂州	鄂伦春
遨	遨游	遨游太空
陕	陕西	陕北
亥	亥时	亥猪
殉	殉情	殉职
胥	胥吏	胥各庄
硅	硅胶	硅谷
罂	罂粟	罂粟花
谙	谙熟	谙晓
氤	氤氲	氤氳
诋	诋毁	
淞	淞沪	
涓	涓涓	涓涓细流
纾	纾解	纾忧
纣	纣王	
摒	摒弃	摒除
隘	隘口	隘路
鸷	鸷鸟	鸷鹰
巽	巽他群岛	巽他
逯	逯钦立	
捍	捍卫	捍卫者
哺	哺育	哺乳动物
荏	荏苒	荏弱
簪	簪子	簪缨
旮	旮旯	旮旯儿
佚	佚名	佚事
祛	祛除	祛病
篡	篡改	篡位
拮	拮据	拮抗剂
叁	叁天	
苯	苯胺	苯教
恽	恽代英	恽寿平
绛	绛红色	绛色
铝	铝合金	铝锅
毡	毡帽	毡子
茁	茁壮成长	茁壮
艮	艮岳	
徙	徙步	徙居
掬	掬水	掬诚
侨	侨民	侨胞
谕	谕旨	谕令
呓	呓语	
畸	畸形	畸变
姹	姹紫嫣红	姹紫焉红
蓁	蓁蓁	
酩	酩酊大醉	酩酊
蜚	蜚语	蜚声
赝	赝品	赝鼎
酋	酋长	酋长国
谆	谆谆教导	谆谆教诲
砾	砾石	砾岩
笆	笆篱	笆斗
箩	箩筐	箩卜
迥	迥异	迥然不同
骡	骡子	骡马
麾	麾下	麾军
镂	镂空	镂刻
洱	洱海	洱源县
宕	宕机	宕昌县
嗫	嗫嚅	嗫嗫嚅嚅
竣	竣工	竣事
槌	槌子	槌棒
黔	黔驴技穷	黔县
膘	膘肥体壮	膘肥体胖
蹶	蹶子	
纰	纰漏	纰缪
焖	焖饭	焖牛肉
狒	狒狒	
嚅	嚅嚅	
剽	剽窃	剽悍
邯	邯郸	邯郸学步
筏	筏子	筏头
嗳	嗳呀	嗳气
埂	埂子	
堑	堑壕	堑山堙谷
荨	荨麻疹	荨麻
鎏	鎏金	
聒	聒噪	聒耳
茴	茴香	茴香豆
栉	栉风沐雨	栉比
虱	虱子	虱多不痒
蛀	蛀虫	蛀牙
迄	迄今为止	迄今
偕	偕老	偕同
虬	虬龙	虬髯
泗	泗水	泗州
忤	忤逆	忤逆不孝
雎	雎鸠	
阖	阖家欢乐	阖家幸福
糜	糜烂	糜烂不堪
钗	钗头凤	钗横鬓乱
逄	逄先知	
贰	贰仟	贰心
赳	赳赳	赳赳武夫
剜	剜肉补疮	剜除
麋	麋鹿	麋羚
霁	霁月	霁月光风
睥	睥睨	睥睨一切
嫔	嫔妃	嫔从
睢	睢宁	睢县
缨	缨子	缨络
渭	渭河	渭水
忻	忻州	忻口
谀	谀词	谀辞
孱	孱弱	孱头
杞	杞人忧天	杞县
孱	孱弱	孱头
潸	潸然泪下	潸然
侏	侏儒	侏罗纪
湍	湍急	湍流
砣	砣子	
呤	呤呤	
沂	沂蒙	沂河
榔	榔头	榔榆
糠	糠麸	糠皮
噱	噱头	
噱	噱头	
犄	犄角	犄角之势
挛	挛生	挛缩
澹	澹台	澹台小姐
氢	氢气	氢气球
襁	襁褓	襁褓之中
澹	澹台	澹台小姐
擀	擀面杖	擀毡
轱	轱辘	轱轳
竺	竺可桢	竺法护
皖	皖南	皖北
莠	莠民	
碉	碉堡	碉楼
痉	痉挛	痉挛性
贲	贲门	贲临
赁	赁租	
潋	潋滟	
涔	涔涔	
荻	荻村伊智朗	
颌	颌骨	颌面
鸵	鸵鸟	鸵鸟蛋
鼬	鼬鼠	鼬獾
峪	峪口	
樵	樵夫	樵采
颌	颌骨	颌面
踊	踊跃	踊跃报名
濮	濮阳	濮存昕
陇	陇西	陇南
蚌	蚌壳	蚌埠
噻	噻吩	噻嗪
驮	驮背	驮负
泾	泾渭分明	泾源
驮	驮背	驮负
氮	氮气	氮肥厂
瘠	瘠薄	瘠瘦
儆	儆戒	
彗	彗星	彗尾
札	札记	札幌
釉	釉里红	釉色
蔻	蔻丹	
遑	遑论	遑遑不可
讼	讼师	讼词
殄	殄灭	
炀	炀帝	
娉	娉婷	娉娉婷婷
羌	羌族	羌塘
蝈	蝈蝈	蝈蝈儿
诏	诏书	诏令
咝	咝咝	咝咝声
黢	黢黑	
刈	刈草	刈稻
垦	垦荒地	垦地
庵	庵堂	庵主
囤	囤积	囤货
囤	囤积	囤货
舷	舷窗	舷梯
醍	醍醐灌顶	醍醐
蝗	蝗虫	蝗灾
桎	桎梏	
铂	铂金	铂金卡
娼	娼妓	娼妇
颉	颉颃	
瘀	瘀伤	瘀血
颉	颉颃	
恁	恁地	恁般
饽	饽饽	
诨	诨名	诨号
孪	孪生	孪生兄弟
锭	锭子	
赊	赊账	赊欠
缄	缄默	缄口不言
箬	箬笠	箬帽
尕	尕斯库勒	尕玛
珲	珲春	珲春市
铤	铤而走险	
沽	沽名钓誉	沽酒
龅	龅牙	
扪	扪心自问	扪心
鲛	鲛绡	
茯	茯苓	茯神
肱	肱骨	肱股
冗	冗长	冗杂
诃	诃德	诃子
濯	濯濯	濯足
倨	倨傲	倨傲不恭
怆	怆然泪下	怆然涕下
恣	恣意	恣肆
赧	赧然	赧颜
魍	魍魉	魍魎
钠	钠灯	钠离子
悖	悖论	悖逆
沱	沱江	沱沱河
肛	肛门	肛裂
桧	桧木	桧柏
桧	桧木	桧柏
茱	茱莉亚	茱萸
跛	跛子	跛脚
蝌	蝌蚪	蝌蚪文
淆	淆乱	淆惑
锌	锌皮	锌矿
轧	轧死	轧钢厂
轧	轧死	轧钢厂
轧	轧死	轧钢厂
驷	驷马难追	驷马
隗	隗瀛涛	
酗	酗酒	酗酒滋事
齑	齑粉	
羸	羸弱	羸疾
刽	刽子手	
俎	俎上肉	俎上之肉
隗	隗瀛涛	
晁	晁错	晁补之
宦	宦官	宦之家
帧	帧定位	帧频
摹	摹仿	摹本
蛹	蛹期	
箕	箕门	箕帚
颧	颧骨	
萘	萘酚	
崆	崆峒	崆峒山
徜	徜徉	徜徉于
囫	囫囵	囫囵吞枣
獐	獐头鼠目	獐子
罔	罔顾	罔替
壬	壬戌	壬申
巳	巳时	巳蛇
驿	驿站	驿馆
痨	痨病	
蒿	蒿草	蒿子
蛭	蛭石	
磬	磬竹难书	
椿	椿树	椿萱
酊	酊剂	
铄	铄石流金	铄金
睑	睑缘炎	睑下垂
鹑	鹑衣百结	鹑衣
乜	乜斜	乜嘢
乜	乜斜	乜嘢
跻	跻身	跻身于
锲	锲而不舍	
蕤	蕤宾	蕤仁
抨	抨击	抨弹
蜃	蜃楼	蜃景
孚	孚日	孚众望
镌	镌刻	镌印
笺	笺纸	笺注
搽	搽着	搽药
怄	怄气	
葶	葶苈子	
毗	毗邻	毗连
豌	豌豆	豌豆荚
俾	俾斯麦	俾昼作夜
泵	泵房	泵车
鹌	鹌鹑	鹌鹑蛋
撺	撺掇	撺弄
滇	滇南	滇西
圩	圩镇	圩堤
藩	藩王	藩篱
圩	圩镇	圩堤
恹	恹恹	
鬣	鬣狗	鬣鬃
砧	砧板	砧木
郴	郴县	郴州
滂	滂沱	滂沱大雨
鳗	鳗鱼	鳗鲡
楔	楔子	楔形
樯	樯橹	樯倾楫摧
荃	荃湾	荃灣
湄	湄公河	湄南河
蝮	蝮蛇	蝮蛇螫手
匝	匝道	匝地
榛	榛子	榛蘑
忸	忸怩	忸怩不安
旌	旌旗	旌阳
诙	诙谐	诙谐地
灞	灞河	灞桥
锚	锚链	锚地
挞	挞伐	
馥	馥郁	
鄢	鄢烈山	鄢陵
貔	貔貅	貔虎
迩	迩来	
胫	胫骨	
蠡	蠡园	蠡县
塾	塾师	
哂	哂笑	哂然
喙	喙长三尺	
邈	邈远	邈视
薏	薏米	薏苡
胛	胛骨	
碱	碱性	碱面
敕	敕令	敕封
邝	邝曰广	
羯	羯鼓	羯羊
伥	伥鬼	
霭	霭霭	
浚	浚县	
腱	腱子	腱鞘炎
浚	浚县	
螯	螯合物	螯合剂
戍	戍边	戍守
苌	苌弘化碧	
氨	氨基酸	氨气
皴	皴裂	皴法
裱	裱糊	裱画
矍	矍铄	
袈	袈裟	
獾	獾油	獾猪
枳	枳实	枳壳
鹄	鹄立	鹄形鸠面
鹄	鹄立	鹄形鸠面
镣	镣铐	
赡	赡养	赡养费
癸	癸丑	癸巳
雹	雹子	雹灾
耘	耘田	耘锄
叵	叵测	叵耐
酪	酪浆	酪氨酸
缮	缮写	缮修
秆	秆子	
蔗	蔗糖	蔗田
綦	綦江	綦母怀
蛔	蛔虫	蛔厥
脍	脍炙人口	脍炙
藓	藓苔	藓类
仄	仄仄	仄声
鸩	鸩毒	鸩酒
溥	溥仪	溥仪之
闰	闰年	闰月
桁	桁架	桁梁
镁	镁光灯	镁光
蕨	蕨菜	蕨类植物
痔	痔疮	痔漏
戌	戌时	戌狗
骊	骊山	骊歌
赣	赣州	赣南
敝	敝帚自珍	敝履
猕	猕猴	猕猴桃
恸	恸哭	
蝰	蝰蛇	
砝	砝码	
泸	泸州	泸沽湖
莳	莳萝	莳秧
蚤	蚤休	
樽	樽俎	樽前月下
耒	耒耜	耒阳
觥	觥筹交错	觥筹
膻	膻中	膻味
娩	娩出	
鼋	鼋头渚	鼋鱼
胴	胴体	
蹴	蹴鞠	
谪	谪仙	谪居
阪	阪神	阪田
谏	谏言	谏议
徇	徇私	徇私枉法
骐	骐骥	骐骥过隙
膈	膈膜	膈关
弭	弭兵之会	
匈	匈奴	匈牙利
笤	笤帚	
堰	堰塞湖	堰口
郸	郸城	郸城县
煅	煅烧	
蜇	蜇伤	
鬃	鬃毛	鬃刷
饷	饷银	饷客
遒	遒劲	遒健
舐	舐犊情深	舐食
槁	槁木	槁木死灰
舛	舛错	舛误
诓	诓骗	
纫	纫针	
胱	胱氨酸	胱胺酸
镊	镊子	
荜	荜澄茄	荜路蓝缕
诟	诟病	诟骂
沣	沣河	
罄	罄竹难书	罄尽
糅	糅合	糅杂
銮	銮驾	銮舆
歙	歙砚	歙县
歙	歙砚	歙县
邕	邕城	邕江
秸	秸秆	秸杆
缱	缱绻	
蟋	蟋蟀	蟋蟀草
嗟	嗟来之食	嗟叹
贮	贮存	贮藏
鹞	鹞子	鹞子翻身
髯	髯口	
刎	刎颈之交	
柑	柑橘	柑子
晤	晤面	晤对
烯	烯酮	烯丙基
筵	筵席	筵宴
熨	熨斗	熨帖
涝	涝灾	涝池
逡	逡巡	逡巡不前
雉	雉鸡	雉尾
珐	珐琅	珐琅质
贻	贻笑大方	贻误
钎	钎子	钎头
皈	皈依	
瘙	瘙痒	瘙痒症
诳	诳语	诳骗
猞	猞猁	
湟	湟中县	湟鱼
汾	汾酒	汾河
痢	痢疾	痢特灵
阆	阆苑	阆中
矬	矬子	
疹	疹子	疹块
翕	翕动	翕张
谲	谲而不正	
姘	姘头	姘居
镭	镭射	镭射光
牯	牯岭	牯牛
蟊	蟊贼	
侗	侗族	侗寨
杷	杷子	
侗	侗族	侗寨
舶	舶来品	舶来货
誊	誊写	誊抄
铡	铡刀	铡草
幔	幔帐	幔子
谚	谚语	
盂	盂兰盆会	盂县
碘	碘酒	碘钨灯
鹧	鹧鸪天	鹧鸪
唢	唢呐	唢呐声
戊	戊辰	戊戌变法
亟	亟需	亟待
汴	汴京	汴梁
汛	汛期	汛情
爻	爻辞	爻象
阄	阄割	
亟	亟需	亟待
颀	颀长	颀然
岿	岿然不动	岿然
掮	掮客	
鸪	鸪鸪	
酮	酮体	酮类
饯	饯行	饯别
翦	翦伯赞	
氯	氯化钠	氯化氢
胺	胺类	胺基酸
绥	绥靖	绥远
鳕	鳕鱼	
廿	廿四	廿年
埠	埠头	
趿	趿拉	趿着
厩	厩肥	
嵇	嵇中散	嵇中散集
莅	莅临	莅临指导
淙	淙淙	淙淙流水
砥	砥柱	砥砺
毽	毽子	
谗	谗言	谗猫
枇	枇杷	枇杷树
瓤	瓤子	
淄	淄博	淄川
迤	迤逦	
刍	刍狗	刍议
荞	荞麦	荞麦皮
瘌	瘌痢	瘌痢头
衮	衮州	衮衮
霰	霰弹枪	霰弹
铀	铀矿	
鲈	鲈鱼	
苜	苜蓿	苜蓿草
狍	狍子	
酶	酶系统	酶类
铆	铆钉	铆劲
唁	唁电	唁函
庖	庖厨	庖丁解牛
鲑	鲑鱼	
佤	佤族	
悱	悱恻	悱恻缠绵
诘	诘问	诘难
茕	茕茕孑立	
鲢	鲢鱼	
纂	纂修	纂辑
璎	璎珞	
攫	攫取	攫住
暨	暨大	暨南大学
遽	遽然	遽尔
蒽	蒽醌	蒽环类
铧	铧犁	
盥	盥洗室	盥洗
喟	喟叹	喟然
萼	萼片	
阜	阜阳	阜城
汨	汨罗	汨罗江
苕	苕帚	苕子
耆	耆那教	耆宿
崂	崂山	崂山区
苕	苕帚	苕子
鏖	鏖战	鏖兵
莆	莆田	莆田县
茏	茏葱	
靛	靛蓝色	靛蓝
掴	掴耳光	
驸	驸马	驸马爷
踟	踟蹰	踟蹰不前
芡	芡粉	芡实
锒	锒铛入狱	锒铛
罹	罹难	罹患
傣	傣族	傣家
皋	皋兰	皋兰县
猢	猢狲	
涑	涑水	
蠹	蠹虫	蠹鱼
勐	勐海县	勐腊
癣	癣疥	癣疥之疾
喑	喑哑	
豇	豇豆	
雒	雒于仁	
郦	郦道元	郦食其
焙	焙烧	焙茶
哓	哓哓	哓哓不休
洮	洮河	洮砚
豢	豢养	
觐	觐见	觐谒
芍	芍药	芍药花
媾	媾和	媾合
桅	桅杆	桅灯
楦	楦子	楦头
郢	郢州	郢书燕说
蓟	蓟州	蓟城
麝	麝香	麝鼠
箴	箴言	箴规
燧	燧石	燧人氏
颍	颍川	颍河
楹	楹联	
楸	楸子	楸树
葳	葳蕤	
箔	箔条	箔片
煸	煸炒	煸动
撷	撷取	撷拾
俸	俸禄	俸给
彝	彝族	彝人
蓼	蓼花	蓼藍
糍	糍粑	
鞑	鞑子	鞑虏
苁	苁蓉	
辊	辊子	辊轴
孢	孢子	孢粉
蕃	蕃茄	蕃薯
瓯	瓯越	瓯海
铩	铩羽而归	铩羽
汞	汞液	汞合金
貉	貉子	貉绒
铢	铢两	铢积寸累
稗	稗子	稗官野史
麸	麸皮	麸子
黟	黟县	
踽	踽踽独行	踽踽
闾	闾里	闾巷
蛎	蛎黄	
闩	闩门闭户	
潍	潍坊	潍坊市
佃	佃户	佃农
佃	佃户	佃农
闳	闳大不经	
擘	擘肌分理	擘画
蜉	蜉蝣	
棣	棣棠	
鲠	鲠直	
祢	祢衡	
氙	氙气	氙气灯
玳	玳瑁	玳玳花
镔	镔铁	
罅	罅隙	罅口
蚝	蚝油	
徵	徵兆	徵求
捭	捭阖	
倥	倥偬	
邰	邰正宵	邰丽华
偈	偈语	
荚	荚果	荚膜
渥	渥太华	渥丹
龈	龈交	龈齿弹舌
耄	耄耋	耄耋之年
跗	跗骨	跗蹠
饴	饴糖	
